epoch,time_taken,scores
4,1140.7702198028564,"{'Bleu_1': 0.3433002603876967, 'Bleu_2': 0.21403400904489114, 'Bleu_3': 0.142131898010737, 'Bleu_4': 0.09884100465021205, 'Gleu_1': 0.3033981742579936, 'Gleu_2': 0.21141101920379238, 'Gleu_3': 0.1604400267672069, 'Gleu_4': 0.12874882268378526}"
7,1136.903468132019,"{'Bleu_1': 0.3502697154130392, 'Bleu_2': 0.2165116767635416, 'Bleu_3': 0.1426032978333823, 'Bleu_4': 0.09842379488473436, 'Gleu_1': 0.3000186202402011, 'Gleu_2': 0.20812923888470233, 'Gleu_3': 0.15746830616719093, 'Gleu_4': 0.12609733744935367}"
10,1137.1777231693268,"{'Bleu_1': 0.3315152084175645, 'Bleu_2': 0.198015187279024, 'Bleu_3': 0.12780292175049907, 'Bleu_4': 0.08492288931024959, 'Gleu_1': 0.2846132417123224, 'Gleu_2': 0.1937946260804209, 'Gleu_3': 0.14538771112589916, 'Gleu_4': 0.11539109101404657}"
13,1132.8074173927307,"{'Bleu_1': 0.37713977296674284, 'Bleu_2': 0.23359372288060767, 'Bleu_3': 0.15295069714545484, 'Bleu_4': 0.1032754169492228, 'Gleu_1': 0.31929291534318466, 'Gleu_2': 0.22174358496716806, 'Gleu_3': 0.16745983131508269, 'Gleu_4': 0.13348114242120823}"
16,1136.0620470046997,"{'Bleu_1': 0.3060246568969528, 'Bleu_2': 0.18097634234102963, 'Bleu_3': 0.11346117986353277, 'Bleu_4': 0.07305858746621124, 'Gleu_1': 0.2637107119948685, 'Gleu_2': 0.17868713047703896, 'Gleu_3': 0.13280696012654775, 'Gleu_4': 0.1046643795982475}"
19,1134.5560643672943,"{'Bleu_1': 0.3811379785514132, 'Bleu_2': 0.23089559941282348, 'Bleu_3': 0.14943877357700885, 'Bleu_4': 0.09801559230476199, 'Gleu_1': 0.32426807270709035, 'Gleu_2': 0.22254456974404566, 'Gleu_3': 0.16727427678613702, 'Gleu_4': 0.1325403670164343}"
22,1134.105010509491,"{'Bleu_1': 0.37222164788586787, 'Bleu_2': 0.22556107186933153, 'Bleu_3': 0.14463405207914984, 'Bleu_4': 0.09614469524143218, 'Gleu_1': 0.3184733094511521, 'Gleu_2': 0.21861723536514469, 'Gleu_3': 0.16384001929657938, 'Gleu_4': 0.13004894561090527}"
25,1134.539644241333,"{'Bleu_1': 0.38341454315733664, 'Bleu_2': 0.23466885216959724, 'Bleu_3': 0.15113009330535557, 'Bleu_4': 0.1017334058328581, 'Gleu_1': 0.3299710469786121, 'Gleu_2': 0.22765072765072766, 'Gleu_3': 0.17092218928309585, 'Gleu_4': 0.1360578784359272}"
28,1132.8114182949066,"{'Bleu_1': 0.34635197308350396, 'Bleu_2': 0.21163933066404933, 'Bleu_3': 0.1378118588153924, 'Bleu_4': 0.09462096873924064, 'Gleu_1': 0.30346135609293506, 'Gleu_2': 0.2091650671785029, 'Gleu_3': 0.15756839889914198, 'Gleu_4': 0.12595870206489676}"
31,1133.3041920661926,"{'Bleu_1': 0.35477973906172094, 'Bleu_2': 0.21913561499286602, 'Bleu_3': 0.143883309230482, 'Bleu_4': 0.09737393540809686, 'Gleu_1': 0.3204903677758319, 'Gleu_2': 0.22217571161233132, 'Gleu_3': 0.16791317643930329, 'Gleu_4': 0.13393668585277188}"
34,1133.4516336917877,"{'Bleu_1': 0.3559760335745436, 'Bleu_2': 0.214205655945357, 'Bleu_3': 0.138647706549005, 'Bleu_4': 0.09331404114897593, 'Gleu_1': 0.31963293890364647, 'Gleu_2': 0.2185040332437057, 'Gleu_3': 0.1641672853254145, 'Gleu_4': 0.13066900526183914}"
37,1133.6296684741974,"{'Bleu_1': 0.3587933620537104, 'Bleu_2': 0.2218359094775402, 'Bleu_3': 0.1494272481502102, 'Bleu_4': 0.1044977645374056, 'Gleu_1': 0.3235935455734845, 'Gleu_2': 0.22440771079609556, 'Gleu_3': 0.1710284550826836, 'Gleu_4': 0.13745160154875044}"
