epoch,time_taken,scores
4,65.97679376602173,"{'Bleu_1': 0.6432199892357832, 'Bleu_2': 0.6317519056141805, 'Bleu_3': 0.6241822996392665, 'Bleu_4': 0.6179556642611786, 'Gleu_1': 0.6813624678663239, 'Gleu_2': 0.6666016640665626, 'Gleu_3': 0.6559267052428547, 'Gleu_4': 0.6466870675891432}"
7,65.78235626220703,"{'Bleu_1': 0.6716883115515556, 'Bleu_2': 0.6584803035740541, 'Bleu_3': 0.6493837786061648, 'Bleu_4': 0.6416888031632472, 'Gleu_1': 0.6810301507537688, 'Gleu_2': 0.6655233739837398, 'Gleu_3': 0.6541623843782117, 'Gleu_4': 0.6442632536382537}"
10,65.84527969360352,"{'Bleu_1': 0.6514140948009466, 'Bleu_2': 0.6391913152410392, 'Bleu_3': 0.6312111088066509, 'Bleu_4': 0.6246280174788057, 'Gleu_1': 0.6698673404927353, 'Gleu_2': 0.6549763638686598, 'Gleu_3': 0.6443985010983331, 'Gleu_4': 0.6352764344530126}"
13,66.94536256790161,"{'Bleu_1': 0.6466308171149496, 'Bleu_2': 0.6329382887087083, 'Bleu_3': 0.6238019842179223, 'Bleu_4': 0.6162465080018718, 'Gleu_1': 0.6555472263868066, 'Gleu_2': 0.6394643759474482, 'Gleu_3': 0.6279594617611991, 'Gleu_4': 0.6180878552971576}"
16,65.38239002227783,"{'Bleu_1': 0.6462942366250667, 'Bleu_2': 0.6298402371726585, 'Bleu_3': 0.6188179345129463, 'Bleu_4': 0.6098912000582765, 'Gleu_1': 0.6545954045954046, 'Gleu_2': 0.6358585858585859, 'Gleu_3': 0.6225740551583249, 'Gleu_4': 0.6114411157024794}"
19,65.39807844161987,"{'Bleu_1': 0.6696852053504992, 'Bleu_2': 0.6528464105862682, 'Bleu_3': 0.641192474744271, 'Bleu_4': 0.631713906313243, 'Gleu_1': 0.6061895996318454, 'Gleu_2': 0.5895513714551371, 'Gleu_3': 0.5775794582746203, 'Gleu_4': 0.5676020408163265}"
22,65.35207414627075,"{'Bleu_1': 0.6547174516135349, 'Bleu_2': 0.6335227011942536, 'Bleu_3': 0.6194367650192529, 'Bleu_4': 0.6079004990406197, 'Gleu_1': 0.5698037466547725, 'Gleu_2': 0.5505067567567568, 'Gleu_3': 0.5373066424021838, 'Gleu_4': 0.5263671875}"
25,65.33009910583496,"{'Bleu_1': 0.6811397557666214, 'Bleu_2': 0.6626619529255412, 'Bleu_3': 0.6491072605190558, 'Bleu_4': 0.6373946494161782, 'Gleu_1': 0.5784621831133459, 'Gleu_2': 0.5622224571791077, 'Gleu_3': 0.5501600853788687, 'Gleu_4': 0.5397274294333118}"
28,65.63744187355042,"{'Bleu_1': 0.6633298398481425, 'Bleu_2': 0.6433451417820241, 'Bleu_3': 0.6297668932397239, 'Bleu_4': 0.6184010090398635, 'Gleu_1': 0.6144521595857362, 'Gleu_2': 0.5947794030205732, 'Gleu_3': 0.5809798501782638, 'Gleu_4': 0.5692943034130936}"
31,65.22492122650146,"{'Bleu_1': 0.6681472718655084, 'Bleu_2': 0.6488484715805929, 'Bleu_3': 0.6356216511977423, 'Bleu_4': 0.624981194608305, 'Gleu_1': 0.6447928059302467, 'Gleu_2': 0.6247389755558285, 'Gleu_3': 0.610497123225299, 'Gleu_4': 0.5987758945386064}"
34,65.31858897209167,"{'Bleu_1': 0.6718862351876146, 'Bleu_2': 0.653503297352481, 'Bleu_3': 0.6416015751183847, 'Bleu_4': 0.6319569407322514, 'Gleu_1': 0.6147397834439399, 'Gleu_2': 0.5966945065286436, 'Gleu_3': 0.5844922540512698, 'Gleu_4': 0.5743843843843844}"
37,65.45042109489441,"{'Bleu_1': 0.7108013756308904, 'Bleu_2': 0.6900691334105543, 'Bleu_3': 0.6767086331525176, 'Bleu_4': 0.6661436518833088, 'Gleu_1': 0.6287044396502782, 'Gleu_2': 0.609645601559812, 'Gleu_3': 0.5969953269223343, 'Gleu_4': 0.5868254711459675}"
