step,batch_loss
1,0.5980112
2,0.45994803
3,0.38996646
4,0.37052685
5,0.31687105
6,0.24848473
7,0.32699546
8,0.23947616
9,0.27522475
10,0.20297027
11,0.1540616
12,0.32296717
13,0.18498014
14,0.22019412
15,0.21296015
16,0.16135526
17,0.20880796
18,0.2534654
19,0.09589311
20,0.12468031
21,0.06233282
22,0.07401604
23,0.11362897
24,0.05531997
25,0.0404019
26,0.22957739
27,0.21570608
28,0.041805085
29,0.07029611
30,0.15167779
31,0.11135828
32,0.099150114
33,0.16230665
34,0.073630616
35,0.10649373
36,0.052001208
37,0.14542256
38,0.05442836
39,0.08551959
40,0.047020767
41,0.040143635
42,0.111136496
43,0.053796653
44,0.12552968
45,0.023174355
46,0.09312169
47,0.057397198
48,0.06830114
49,0.09739387
50,0.14930363
51,0.22570963
52,0.06784267
53,0.13854554
54,0.122837394
55,0.06322283
56,0.04709029
57,0.07999936
58,0.07101721
59,0.06553728
60,0.105886094
61,0.03413902
62,0.046423376
63,0.12836345
64,0.04898299
65,0.100933895
66,0.072501324
67,0.054156665
68,0.08124641
69,0.10063388
70,0.068942375
71,0.12296898
72,0.27100927
73,0.044031173
74,0.09707782
75,0.010131002
76,0.052483827
77,0.023008713
78,0.13404606
79,0.05419263
80,0.056395344
81,0.020175599
82,0.013197619
83,0.06687629
84,0.016172022
85,0.08702259
86,0.03061676
87,0.07181458
88,0.106961966
89,0.045546856
90,0.10298631
91,0.17080471
92,0.06786203
93,0.033863228
94,0.0156699
95,0.06187959
96,0.019667903
97,0.02639039
98,0.043745954
99,0.026556106
100,0.026679272
101,0.036321525
102,0.21291304
103,0.12635659
1,0.019259898
2,0.061675787
3,0.07949058
4,0.040025003
5,0.05068038
6,0.0470781
7,0.03709966
8,0.026283195
9,0.07540546
10,0.01121836
11,0.085014775
12,0.052481256
13,0.010693715
14,0.036361758
15,0.039549
16,0.06848013
17,0.081594825
18,0.03751866
19,0.021637693
20,0.116548814
21,0.056313206
22,0.05224966
23,0.012293661
24,0.021711437
25,0.0603223
26,0.02143063
27,0.13149604
28,0.08054061
29,0.017372139
30,0.002774761
31,0.081662156
32,0.15149316
33,0.017970929
34,0.073676825
35,0.048966203
36,0.08541938
37,0.04123972
38,0.005495316
39,0.021191563
40,0.018016756
41,0.037439384
42,0.051710952
43,0.05296962
44,0.016534625
45,0.042007774
46,0.011343446
47,0.06726412
48,0.0011891187
49,0.04018636
50,0.06685533
51,0.006349792
52,0.021992331
53,0.11775747
54,0.1623952
55,0.03884703
56,0.10582203
57,0.061443303
58,0.04144834
59,0.024692092
60,0.0483765
61,0.044619456
62,0.052376155
63,0.017491994
64,0.0020584264
65,0.0068608844
66,0.019491242
67,0.08604323
68,0.09531132
69,0.121797435
70,0.050834466
71,0.037680317
72,0.013301985
73,0.014373373
74,0.018059617
75,0.036054242
76,0.03049177
77,0.10454934
78,0.021216914
79,0.022320785
80,0.0036145172
81,0.02201042
82,0.013895769
83,0.048911612
84,0.067161575
85,0.03771152
86,0.04572808
87,0.111899324
88,0.021401543
89,0.022877485
90,0.115165606
91,0.15714847
92,0.08295402
93,0.019560859
94,0.07050945
95,0.019055668
96,0.059949193
97,0.12806372
98,0.04129502
99,0.033174723
100,0.014048948
101,0.027117927
102,0.045416027
103,0.00147823
1,0.0012728743
2,0.032959215
3,0.04150254
4,0.04310641
5,0.043386344
6,0.012200237
7,0.01890439
8,0.02199013
9,0.036159974
10,0.07814958
11,0.028137483
12,0.09049872
13,0.040370334
14,0.064597
15,0.025169266
16,0.083647445
17,0.115299955
18,0.046672165
19,0.1046027
20,0.010914183
21,0.017365206
22,0.03346781
23,0.10873975
24,0.05892551
25,0.0022215068
26,0.07976638
27,0.0072105043
28,0.075291485
29,0.10349631
30,0.05184504
31,0.052322716
32,0.0030456115
33,0.012668782
34,0.037157647
35,0.05625038
36,0.0994715
37,0.017019441
38,0.011314879
39,0.08347468
40,0.02040064
41,0.021940459
42,0.0067963907
43,0.013214038
44,0.054948587
45,0.036693115
46,0.015068724
47,0.060770508
48,0.027610734
49,0.03776667
50,0.059079837
51,0.09099549
52,0.02306635
53,0.046077896
54,0.012615393
55,0.014042789
56,0.026307141
57,0.01743905
58,0.011422156
59,0.026682107
60,0.042779963
61,0.008460198
62,0.010026854
63,0.03753674
64,0.0386203
65,0.0073526655
66,0.029451784
67,0.0234723
68,0.0029008628
69,0.02620152
70,0.08957399
71,0.03619821
72,0.016018437
73,0.016814487
74,0.057109326
75,0.030455409
76,0.032787047
77,0.026336957
78,0.0053376076
79,0.059966616
80,0.018193139
81,0.038733944
82,0.063270964
83,0.11078057
84,0.064656
85,0.0072361287
86,0.0319807
87,0.019926233
88,0.017152715
89,0.055510078
90,0.040255126
91,0.012656096
92,0.037539512
93,0.02132022
94,0.11486236
95,0.05378928
96,0.0030429482
97,0.038179785
98,0.059577864
99,0.1694332
100,0.014284242
101,0.026690861
102,0.023050807
103,0.0012333757
1,0.011203751
2,0.010472315
3,0.015533094
4,0.024427008
5,0.0123341195
6,0.010516263
7,0.009251689
8,0.0016044969
9,0.07560683
10,0.10539955
11,0.02625557
12,0.030239617
13,0.06075529
14,0.09576691
15,0.02654385
16,0.101715244
17,0.026142567
18,0.022051902
19,0.025221992
20,0.042669747
21,0.00894395
22,0.019506922
23,0.009527665
24,0.021694925
25,0.01794343
26,0.03963352
27,0.025163349
28,0.02896445
29,0.026318379
30,0.02694403
31,0.03374644
32,0.020962697
33,0.019640591
34,0.048668068
35,0.0142939
36,0.03438678
37,0.03535369
38,0.0055728024
39,0.01902782
40,0.011403412
41,0.0642013
42,0.08787743
43,0.06832476
44,0.006698042
45,0.039574888
46,0.05663162
47,0.008867937
48,0.042227518
49,0.10122845
50,0.012165024
51,0.06514094
52,0.026454555
53,0.07958546
54,0.011017157
55,0.039828666
56,0.117493056
57,0.051984105
58,0.018226499
59,0.012621434
60,0.05789392
61,0.023186566
62,0.027823512
63,0.015446411
64,0.15543787
65,0.0032595887
66,0.011571673
67,0.06644761
68,0.017860861
69,0.026213195
70,0.05259985
71,0.005644371
72,0.0026234468
